timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1727684903.7053459,6.290475166467118e-07,-1.4802399546297996e-09,-1.427479374538354e-06,0.9999999999987832,-7.052192828095895e-08,7.303113511933236e-10,2.3430991921741406e-14,2.881593985003445e-08,1.2311455496874745e-05,9.799943547212889
1727684903.708942,6.280107135032951e-07,-1.4695033952643478e-09,-1.4274793740942648e-06,0.9999999999987839,-6.842614807558947e-08,7.083517660489525e-10,3.131528328605843e-14,2.859967282197054e-08,1.2291625722792793e-05,9.799945223953197
1727684903.7504683,6.266760579697529e-07,-1.455680699853469e-09,-1.4274793735946645e-06,0.9999999999987847,-6.572990152958464e-08,6.805527952375847e-10,2.7761420623970494e-14,2.8339706698756753e-08,1.2266174698706787e-05,9.79994738233361
1727684904.0587492,6.257097015631498e-07,-1.4456720390228871e-09,-1.4274793733726199e-06,0.9999999999987854,-6.377713969099176e-08,6.603455965268787e-10,2.717052718733664e-14,2.814927481906358e-08,1.2247724254888123e-05,9.799948945136046
1727684904.068848,6.24772054272947e-07,-1.43596211185325e-09,-1.4274793728175084e-06,0.999999999998786,-6.1882361569388e-08,6.408038601050337e-10,1.9326942600175862e-14,2.7975705819330292e-08,1.2229813588218498e-05,9.799950461523286
1727684904.1053238,6.235650390287991e-07,-1.423465641067825e-09,-1.4274793724844415e-06,0.9999999999987867,-5.944384597448483e-08,6.152900015153542e-10,2.439998026618213e-14,2.772606495086226e-08,1.2206795298569088e-05,9.799952413524519
1727684904.136761,6.226910927888793e-07,-1.4144199142639638e-09,-1.4274793720958634e-06,0.9999999999987872,-5.767877375659837e-08,5.968146231925355e-10,2.629206918228839e-14,2.7549581198398923e-08,1.219012364864414e-05,9.799953826874118
1727684904.1683536,6.218430983046312e-07,-1.405640510663535e-09,-1.4274793718183076e-06,0.9999999999987879,-5.596600421478679e-08,5.79538505918116e-10,1.56689837902758e-14,2.739488025771423e-08,1.2173930118222326e-05,9.799955198275503
1727684904.2355137,6.207514908611608e-07,-1.3943398583451298e-09,-1.4274793713742184e-06,0.9999999999987885,-5.3760237466439933e-08,5.564445896285924e-10,2.2766681735090756e-14,2.7168959943190275e-08,1.2153085720493744e-05,9.799956963645279
1727684904.4943755,6.199611043877837e-07,-1.3861552081931444e-09,-1.4274793709301292e-06,0.999999999998789,-5.216368411240963e-08,5.40019191981248e-10,2.1597239045711624e-14,2.7014259576940854e-08,1.2138004421207596e-05,9.799958241865005
1727684904.4959009,6.191941993131987e-07,-1.378211218132476e-09,-1.427479370819107e-06,0.9999999999987894,-5.0614210481017795e-08,5.242799802898231e-10,1.82697660643402e-14,2.6864323255757957e-08,1.2123381719765665e-05,9.799959482114218
1727684904.5223722,6.184500800846921e-07,-1.3705012762798426e-09,-1.4274793704305289e-06,0.9999999999987899,-4.910961327935147e-08,5.08965124841718e-10,1.3080458286392884e-14,2.672415084987572e-08,1.2109143190350058e-05,9.799960685561352
1727684904.5805964,6.17492190565994e-07,-1.3605770523788058e-09,-1.4274793699864397e-06,0.9999999999987904,-4.717490750431454e-08,4.88795828668346e-10,1.596156835047879e-14,2.6529279930979112e-08,1.2090876817530436e-05,9.799962234693073
