timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1727685138.0299332,6.226910927888793e-07,-1.4144199142639638e-09,-1.4274793720958634e-06,0.9999999999987872,-5.767877375659837e-08,5.968146231925355e-10,2.629206918228839e-14,2.7549581198398923e-08,1.219012364864414e-05,9.799953826874118
1727685138.0634718,6.218430983046312e-07,-1.405640510663535e-09,-1.4274793718183076e-06,0.9999999999987879,-5.596600421478679e-08,5.79538505918116e-10,1.56689837902758e-14,2.739488025771423e-08,1.2173930118222326e-05,9.799955198275503
1727685138.1551113,6.207514908611608e-07,-1.3943398583451298e-09,-1.4274793713742184e-06,0.9999999999987885,-5.3760237466439933e-08,5.564445896285924e-10,2.2766681735090756e-14,2.7168959943190275e-08,1.2153085720493744e-05,9.799956963645279
1727685138.4291856,6.199611043877837e-07,-1.3861552081931444e-09,-1.4274793709301292e-06,0.999999999998789,-5.216368411240963e-08,5.40019191981248e-10,2.1597239045711624e-14,2.7014259576940854e-08,1.2138004421207596e-05,9.799958241865005
1727685138.4371624,6.191941993131987e-07,-1.378211218132476e-09,-1.427479370819107e-06,0.9999999999987894,-5.0614210481017795e-08,5.242799802898231e-10,1.82697660643402e-14,2.6864323255757957e-08,1.2123381719765665e-05,9.799959482114218
1727685138.4673076,6.184500800846921e-07,-1.3705012762798426e-09,-1.4274793704305289e-06,0.9999999999987899,-4.910961327935147e-08,5.08965124841718e-10,1.3080458286392884e-14,2.672415084987572e-08,1.2109143190350058e-05,9.799960685561352
1727685138.5109284,6.17492190565994e-07,-1.3605770523788058e-09,-1.4274793699864397e-06,0.9999999999987904,-4.717490750431454e-08,4.88795828668346e-10,1.596156835047879e-14,2.6529279930979112e-08,1.2090876817530436e-05,9.799962234693073
1727685138.597923,6.167986327401553e-07,-1.3533945251553704e-09,-1.4274793697088839e-06,0.9999999999987907,-4.577328006940702e-08,4.740822366803494e-10,1.5136552432262276e-14,2.6393837105423056e-08,1.2077644273242054e-05,9.799963356368956
1727685138.6251352,6.161256798386751e-07,-1.3464247351188717e-09,-1.4274793695978616e-06,0.9999999999987913,-4.4413722873760715e-08,4.598464908715999e-10,2.059791919692628e-14,2.625209803606058e-08,1.2064804891628157e-05,9.799964444707534
1727685138.8799706,6.152593927617528e-07,-1.3374589390979917e-09,-1.4274793691537724e-06,0.9999999999987919,-4.266381349740218e-08,4.4132383404016744e-10,2.0187691924848417e-14,2.6083035907380472e-08,1.204827636443423e-05,9.799965845719113
